id,store_name,store_name_gn,store_name_tb,store_name_hp,store_name_retty,store_name_demaekan,store_name_uber,store_name_google,phone_number,area_id
1382,"めっちゃ らんまん食堂",,,,,,,"めっちゃ らんまん食堂",,6
1383,"炭火研究所 中目黒",,,,,,,"炭火研究所 中目黒",,6
1384,"ロジウラサカバ アオコーナー",,,,,,,"ロジウラサカバ アオコーナー",,6
1385,"ワインの酒場。 ディプント中目黒店",,,,,,,"ワインの酒場。 ディプント中目黒店",,6
1386,"お好み酒場 茶ばな 中目黒店",,,,,,,"お好み酒場 茶ばな 中目黒店",,6
1387,"ふぐぶた酒場 中目黒店",,,,,,,"ふぐぶた酒場 中目黒店",,6
1388,"もつ焼き でん 中目黒店",,,,,,,"もつ焼き でん 中目黒店",,6
1389,"やんばるミートセンター",,,,,,,"やんばるミートセンター",,6
1390,"創作和食だん",,,,,,,"創作和食だん",,6
1391,"地酒と鮮魚 喜口商店中目黒",,,,,,,"地酒と鮮魚 喜口商店中目黒",,6
1392,"串揚げキッチンだん 中目黒店",,,,,,,"串揚げキッチンだん 中目黒店",,6
1393,"鳥元 中目黒店",,,,,,,"鳥元 中目黒店",,6
1394,"五の五 祐天寺駅前店",,,,,,,"五の五 祐天寺駅前店",,6
1395,"ヤサカ",,,,,,,"ヤサカ",,6
1396,"栃木屋",,,,,,,"栃木屋",,6
1397,"シュマッツ中目黒店",,,,,,,"シュマッツ中目黒店",,6
1398,"魚介バル いかり屋kitchen",,,,,,,"魚介バル いかり屋kitchen",,6
1399,"目黒２丁目",,,,,,,"目黒２丁目",,6
1400,Aobaya,,,,,,,Aobaya,,6
1401,"楽膳",,,,,,,"楽膳",,6
1402,"北の恵",,,,,,,"北の恵",,6
1403,"鳥よし 中目黒店",,,,,,,"鳥よし 中目黒店",,6
1404,"さかとこ",,,,,,,"さかとこ",,6
1405,"炉端焼きとおばんざい 目黒ひとひら",,,,,,,"炉端焼きとおばんざい 目黒ひとひら",,6
1406,"福包 中目黒店",,,,,,,"福包 中目黒店",,6
1407,"LDH kitchen IZAKAYA AOBADAI",,,,,,,"LDH kitchen IZAKAYA AOBADAI",,6
1408,"LDH kitchen IZAKAYA EBISUNISHI",,,,,,,"LDH kitchen IZAKAYA EBISUNISHI",,6
1409,"モノポール",,,,,,,"モノポール",,6
1410,"いけのや",,,,,,,"いけのや",,6
1411,"はまぐり屋串左衛門",,,,,,,"はまぐり屋串左衛門",,6
1412,"香港餃子酒場 中目黒店",,,,,,,"香港餃子酒場 中目黒店",,6
1413,"九州居酒屋 いちばんや",,,,,,,"九州居酒屋 いちばんや",,6
1414,"おちゃのこ菜菜",,,,,,,"おちゃのこ菜菜",,6
1415,"日本酒の店 多嘉屋",,,,,,,"日本酒の店 多嘉屋",,6
1416,"中目黒グリル",,,,,,,"中目黒グリル",,6
1417,"串カツ田中 中目黒店",,,,,,,"串カツ田中 中目黒店",,6
1418,"焼肉鍋問屋 志方",,,,,,,"焼肉鍋問屋 志方",,6
1419,"菜の花",,,,,,,"菜の花",,6
1420,"北海酒場 静内",,,,,,,"北海酒場 静内",,6
1421,"焼鳥 鳥芳2号店 目黒 居酒屋",,,,,,,"焼鳥 鳥芳2号店 目黒 居酒屋",,6
1422,"コロッセオ 中目黒",,,,,,,"コロッセオ 中目黒",,6
1423,"太",,,,,,,"太",,6
1424,"昆布とり kobutori",,,,,,,"昆布とり kobutori",,6
1425,"居酒屋 友",,,,,,,"居酒屋 友",,6
1426,"眞か（SHINKA）",,,,,,,"眞か（SHINKA）",,6
1427,"みどり",,,,,,,"みどり",,6
1428,"RODEO （ロデオ）",,,,,,,"RODEO （ロデオ）",,6
1429,"食堂まきの",,,,,,,"食堂まきの",,6
1430,"燻製工房 目黒店",,,,,,,"燻製工房 目黒店",,6
1431,"夕月",,,,,,,"夕月",,6
1432,"鴨",,,,,,,"鴨",,6
1433,"日本居酒屋協会（一般（社））",,,,,,,"日本居酒屋協会（一般（社））",,6
1434,"いろは寿司",,,,,,,"いろは寿司",,6
1435,"ごっつい 祐天寺",,,,,,,"ごっつい 祐天寺",,6
1436,"鮨おにかい",,,,,,,"鮨おにかい",,6
1437,"吉次蟹蔵",,,,,,,"吉次蟹蔵",,6
1438,"まじゅばん",,,,,,,"まじゅばん",,6
1439,"新潟酒バル 吹溜",,,,,,,"新潟酒バル 吹溜",,6
1440,"博多 煌梨 恵比寿店",,,,,,,"博多 煌梨 恵比寿店",,6
1441,"ミライザカ 目黒東口駅前店",,,,,,,"ミライザカ 目黒東口駅前店",,6
1442,"蔵",,,,,,,"蔵",,6
1443,"ホルモン松田HANARE焼肉",,,,,,,"ホルモン松田HANARE焼肉",,6
1444,"もちこし中目黒",,,,,,,"もちこし中目黒",,6
1445,"こめの家 目黒",,,,,,,"こめの家 目黒",,6
1446,"しゃぶしゃぶ温野菜 中目黒店",,,,,,,"しゃぶしゃぶ温野菜 中目黒店",,6
1447,"吉旦餃子 / KITTAN GYOZA",,,,,,,"吉旦餃子 / KITTAN GYOZA",,6
1448,"大衆酒場カラカゼ",,,,,,,"大衆酒場カラカゼ",,6
1449,"酒場餃子研究所 中目黒店",,,,,,,"酒場餃子研究所 中目黒店",,6
1450,"大樽横丁",,,,,,,"大樽横丁",,6
1451,"居酒屋 たなか畜産 目黒店",,,,,,,"居酒屋 たなか畜産 目黒店",,6
1452,"ハル",,,,,,,"ハル",,6
1453,"はし田屋 中目黒店",,,,,,,"はし田屋 中目黒店",,6
1454,"炭火焼きホルモン まんてん 中目黒店",,,,,,,"炭火焼きホルモン まんてん 中目黒店",,6
1455,"赤目黒",,,,,,,"赤目黒",,6
1456,"中目黒高架下",,,,,,,"中目黒高架下",,6
1457,"立飲みビールボーイ 中目黒店",,,,,,,"立飲みビールボーイ 中目黒店",,6
1458,"兜 中目黒店",,,,,,,"兜 中目黒店",,6
1459,"中目黒 いぐち 上ル",,,,,,,"中目黒 いぐち 上ル",,6
1460,"ふじ",,,,,,,"ふじ",,6
1461,"中目黒金魚",,,,,,,"中目黒金魚",,6
1462,"焼鳥つかだ 中目黒店",,,,,,,"焼鳥つかだ 中目黒店",,6
1463,"魚魚権 目黒店",,,,,,,"魚魚権 目黒店",,6
1464,"居酒家和",,,,,,,"居酒家和",,5
1465,"居酒屋じゅん",,,,,,,"居酒屋じゅん",,5
1466,"土佐宿毛マーケット",,,,,,,"土佐宿毛マーケット",,5
1467,"デクの海小屋",,,,,,,"デクの海小屋",,5
1468,"居酒屋 彩流",,,,,,,"居酒屋 彩流",,5
1469,"BEETLE浦和",,,,,,,"BEETLE浦和",,5
1470,"椿",,,,,,,"椿",,5
1471,"居酒屋 ちゃぶ",,,,,,,"居酒屋 ちゃぶ",,5
1472,"庄や西浦和店",,,,,,,"庄や西浦和店",,5
1473,"クイット",,,,,,,"クイット",,5
1474,"膳 『ZEN』",,,,,,,"膳 『ZEN』",,5
1475,"ひろ",,,,,,,"ひろ",,5
1476,"シェフズキッチンシュン (Chefs Kitchen Shun)",,,,,,,"シェフズキッチンシュン (Chefs Kitchen Shun)",,5
1477,"田舎家旬",,,,,,,"田舎家旬",,5
1478,"居酒屋やず八",,,,,,,"居酒屋やず八",,5
1479,"くいもの屋わん 東大宮店",,,,,,,"くいもの屋わん 東大宮店",,5
1480,"居酒屋 蛍",,,,,,,"居酒屋 蛍",,5
1481,"高山商店 浦和本店",,,,,,,"高山商店 浦和本店",,5
1482,"かぶら屋与野店",,,,,,,"かぶら屋与野店",,5
1483,"居酒屋富士",,,,,,,"居酒屋富士",,5
1484,"居酒屋一進",,,,,,,"居酒屋一進",,5
1485,"すみぼうず",,,,,,,"すみぼうず",,5
1486,"くいもの屋わん 大宮南銀通り店",,,,,,,"くいもの屋わん 大宮南銀通り店",,5
1487,"三代目とも",,,,,,,"三代目とも",,5
1488,"どうどう",,,,,,,"どうどう",,5
1489,"エビス 北浦和総本店",,,,,,,"エビス 北浦和総本店",,5
1490,"家庭料理屋 友",,,,,,,"家庭料理屋 友",,5
1491,"陣屋",,,,,,,"陣屋",,5
1492,"馬肉専門卸問屋 勝馬（かちうま）",,,,,,,"馬肉専門卸問屋 勝馬（かちうま）",,5
1493,"庄や七里店",,,,,,,"庄や七里店",,5
1494,"華雫",,,,,,,"華雫",,5
1495,"よいさん",,,,,,,"よいさん",,5
1496,"わたや",,,,,,,"わたや",,5
1497,"旬菜料理 でんご",,,,,,,"旬菜料理 でんご",,5
1498,"万",,,,,,,"万",,5
1499,"美味門‐うまいもん‐ 大宮駅前店",,,,,,,"美味門‐うまいもん‐ 大宮駅前店",,5
1500,"くいもの屋わん 大宮すずらん通り店",,,,,,,"くいもの屋わん 大宮すずらん通り店",,5
1501,"酒と和みと肉と野菜 浦和店",,,,,,,"酒と和みと肉と野菜 浦和店",,5
1502,"焼鳥酒場 酉楽",,,,,,,"焼鳥酒場 酉楽",,5
1503,"居酒屋",,,,,,,"居酒屋",,5
1504,"呑み屋 釣人",,,,,,,"呑み屋 釣人",,5
1505,"産直地魚と農園野菜 煉（れん）",,,,,,,"産直地魚と農園野菜 煉（れん）",,5
1506,"日本海庄や南与野店",,,,,,,"日本海庄や南与野店",,5
1507,"酒蔵力 大宮南銀座店",,,,,,,"酒蔵力 大宮南銀座店",,5
1508,"大衆割烹 鳴子",,,,,,,"大衆割烹 鳴子",,5
1509,"馳走 番波",,,,,,,"馳走 番波",,5
1510,"煉/レン",,,,,,,"煉/レン",,5
1511,"和酒処 さなぶり",,,,,,,"和酒処 さなぶり",,5
1512,"おそうざいＢＡＲ蔵 仲町店",,,,,,,"おそうざいＢＡＲ蔵 仲町店",,5
1513,"なんやかんや",,,,,,,"なんやかんや",,5
1514,"和食酒処 よね本",,,,,,,"和食酒処 よね本",,5
1515,"居酒屋河水",,,,,,,"居酒屋河水",,5
1516,"おでん 季節料理 とよ田",,,,,,,"おでん 季節料理 とよ田",,5
1517,"音色",,,,,,,"音色",,5
1518,"すし酒場 火花",,,,,,,"すし酒場 火花",,5
1519,"地中海酒場ココチ一ノ 南浦和店",,,,,,,"地中海酒場ココチ一ノ 南浦和店",,5
1520,"とことん",,,,,,,"とことん",,5
1521,"やまいち家",,,,,,,"やまいち家",,5
1522,"えちご",,,,,,,"えちご",,5
1523,"居酒屋 駄々家",,,,,,,"居酒屋 駄々家",,5
1524,"うおかぎ食堂/魚鈎",,,,,,,"うおかぎ食堂/魚鈎",,5
1525,"はなの舞 南浦和東口店",,,,,,,"はなの舞 南浦和東口店",,5
1526,"～ ひびき ～ 浦和店",,,,,,,"～ ひびき ～ 浦和店",,5
1527,"和座檜",,,,,,,"和座檜",,5
1528,"沖縄食堂 結結 yuiyui",,,,,,,"沖縄食堂 結結 yuiyui",,5
1529,"魚がし大膳",,,,,,,"魚がし大膳",,5
1530,"酒蔵 力 浦和本店",,,,,,,"酒蔵 力 浦和本店",,5
1531,"桜扇",,,,,,,"桜扇",,5
1532,"一軒め酒場南浦和東口店",,,,,,,"一軒め酒場南浦和東口店",,5
1533,"台所屋 がぶり",,,,,,,"台所屋 がぶり",,5
1534,"居酒屋 いさり灯",,,,,,,"居酒屋 いさり灯",,5
1535,"いぶし仲町",,,,,,,"いぶし仲町",,5
1536,"可士和",,,,,,,"可士和",,5
1537,"命薬",,,,,,,"命薬",,5
1538,"居酒屋・食堂なごみ",,,,,,,"居酒屋・食堂なごみ",,5
1539,"おでん家 万昌 ざっくばらん",,,,,,,"おでん家 万昌 ざっくばらん",,5
1540,"すし酒家 一歩",,,,,,,"すし酒家 一歩",,5
1541,"会津",,,,,,,"会津",,5
1542,"ジャンボ酒場 北浦和駅前店",,,,,,,"ジャンボ酒場 北浦和駅前店",,5
1543,"焼き鳥 居酒屋 とりたか",,,,,,,"焼き鳥 居酒屋 とりたか",,5
1544,"おくどさん",,,,,,,"おくどさん",,5
1545,"居酒屋来居夢",,,,,,,"居酒屋来居夢",,5
1546,"風花 浦和店",,,,,,,"風花 浦和店",,5
1547,"居酒屋けやき",,,,,,,"居酒屋けやき",,5
1548,"ＤＩＮＩＮＧ居酒屋 みやび",,,,,,,"ＤＩＮＩＮＧ居酒屋 みやび",,5
1549,"北の味紀行と地酒 北海道 浦和店",,,,,,,"北の味紀行と地酒 北海道 浦和店",,5
1550,"やまぜん",,,,,,,"やまぜん",,5
1551,"家庭料理居酒屋よってって",,,,,,,"家庭料理居酒屋よってって",,5
1552,"居炉鶏（いろどり）",,,,,,,"居炉鶏（いろどり）",,5
1553,"たけちゃん",,,,,,,"たけちゃん",,5
1554,"さきたま商店",,,,,,,"さきたま商店",,5
1555,"カラオケ居酒屋りぴーと",,,,,,,"カラオケ居酒屋りぴーと",,5
1556,"居酒屋いくなら俺んち来る？〜宴会部〜 大宮店",,,,,,,"居酒屋いくなら俺んち来る？〜宴会部〜 大宮店",,5
1557,"北の味紀行と地酒 北海道 大宮店",,,,,,,"北の味紀行と地酒 北海道 大宮店",,5
1558,"居酒屋 魚や",,,,,,,"居酒屋 魚や",,5
1559,"居酒屋しぇふず",,,,,,,"居酒屋しぇふず",,5
1560,"居酒屋おたふく",,,,,,,"居酒屋おたふく",,5
1561,"大衆酒場HIDAKA南銀座店",,,,,,,"大衆酒場HIDAKA南銀座店",,5
1562,"ミライザカ さいたま新都心東口駅前店",,,,,,,"ミライザカ さいたま新都心東口駅前店",,5
1563,"立ち呑み モルガン",,,,,,,"立ち呑み モルガン",,5
1564,"薄利多賣半兵ヱ 大宮店",,,,,,,"薄利多賣半兵ヱ 大宮店",,5
1565,"しょうちゃん",,,,,,,"しょうちゃん",,5
1566,"居酒屋一休浦和店",,,,,,,"居酒屋一休浦和店",,5
1567,"麺屋酒場 まる",,,,,,,"麺屋酒場 まる",,5
1568,"喰い道楽よさこい",,,,,,,"喰い道楽よさこい",,5
1569,"わさび料理居酒屋あな蔵",,,,,,,"わさび料理居酒屋あな蔵",,5
1570,"魚や一丁 浦和店",,,,,,,"魚や一丁 浦和店",,5
1571,"浦和金星 蕎麦居酒屋",,,,,,,"浦和金星 蕎麦居酒屋",,5
1572,"やまがたや",,,,,,,"やまがたや",,5
1573,"沖縄の台所 ぱいかじ 浦和パルコ店",,,,,,,"沖縄の台所 ぱいかじ 浦和パルコ店",,5
1574,"居酒屋加代",,,,,,,"居酒屋加代",,5
1575,"磯丸水産 大宮すずらん通り店",,,,,,,"磯丸水産 大宮すずらん通り店",,5
1576,"ロンドン酒場 アーロン 浦和",,,,,,,"ロンドン酒場 アーロン 浦和",,5
1577,"磯丸水産 大宮南銀座通り店",,,,,,,"磯丸水産 大宮南銀座通り店",,5
1578,"葵屋-あおいや- 浦和店",,,,,,,"葵屋-あおいや- 浦和店",,5
1579,"居酒屋ちどり",,,,,,,"居酒屋ちどり",,5
1580,"角打ち 酒屋の隣",,,,,,,"角打ち 酒屋の隣",,5
1581,"旬菜・鮮魚 いちえ",,,,,,,"旬菜・鮮魚 いちえ",,5
1582,"ででんがでん 七里店",,,,,,,"ででんがでん 七里店",,5
1583,"雑魚や基 大宮",,,,,,,"雑魚や基 大宮",,5
1584,"うま囲 浦和駅西口店",,,,,,,"うま囲 浦和駅西口店",,5
1585,"ウメ子の家 大宮東口駅前店",,,,,,,"ウメ子の家 大宮東口駅前店",,5
1586,"磯丸水産 浦和西口店",,,,,,,"磯丸水産 浦和西口店",,5
1587,"磯丸水産 大宮西口店",,,,,,,"磯丸水産 大宮西口店",,5
1588,"点ス 大宮店",,,,,,,"点ス 大宮店",,5
1589,"酒蔵力 大宮東口駅前店",,,,,,,"酒蔵力 大宮東口駅前店",,5
1590,"座や 浦和西口駅前店",,,,,,,"座や 浦和西口駅前店",,5
1591,"さいたま肉の会 浦和駅前店",,,,,,,"さいたま肉の会 浦和駅前店",,5
1592,"楽笑 北浦和駅西口店",,,,,,,"楽笑 北浦和駅西口店",,5
1593,"夢一酒場",,,,,,,"夢一酒場",,5
1594,"大衆酒場 北浦和 るはり屋",,,,,,,"大衆酒場 北浦和 るはり屋",,5
1595,"旬鮮酒場 天狗 大宮西口店",,,,,,,"旬鮮酒場 天狗 大宮西口店",,5
1596,"鮮や一夜 大宮東口駅前店",,,,,,,"鮮や一夜 大宮東口駅前店",,5
1597,"響き 浦和西口店",,,,,,,"響き 浦和西口店",,5
1598,"酒蔵力 武蔵浦和店",,,,,,,"酒蔵力 武蔵浦和店",,5
1599,"29ガブリ 浦和西口店",,,,,,,"29ガブリ 浦和西口店",,5
1600,"味のみやび",,,,,,,"味のみやび",,5
1601,"やきとり だるま",,,,,,,"やきとり だるま",,5
1602,"源ちゃん さいたま新都心店",,,,,,,"源ちゃん さいたま新都心店",,5
1603,"響 大宮店",,,,,,,"響 大宮店",,5
1604,"アカマル屋 武蔵浦和店",,,,,,,"アカマル屋 武蔵浦和店",,5
1605,"はなの舞 浦和東口店",,,,,,,"はなの舞 浦和東口店",,5
1606,"ぢどり亭 武蔵浦和店",,,,,,,"ぢどり亭 武蔵浦和店",,5
1607,"やるき茶屋北浦和東口店",,,,,,,"やるき茶屋北浦和東口店",,5
1608,"世界の山ちゃん北浦和店",,,,,,,"世界の山ちゃん北浦和店",,5
1609,"大衆酒場鉄砲屋",,,,,,,"大衆酒場鉄砲屋",,5
1610,"串焼亭ねぎ浦和店",,,,,,,"串焼亭ねぎ浦和店",,5
1611,"くいもの屋わん 大宮西口店",,,,,,,"くいもの屋わん 大宮西口店",,5
1612,"三代目鳥メロ 大宮西口駅前店",,,,,,,"三代目鳥メロ 大宮西口駅前店",,5
1613,"串焼亭ねぎ 北浦和店",,,,,,,"串焼亭ねぎ 北浦和店",,5
1614,"養老乃瀧 南浦和店",,,,,,,"養老乃瀧 南浦和店",,5
1615,"昭和酒場ポコペン",,,,,,,"昭和酒場ポコペン",,5
1616,"串焼き 一心",,,,,,,"串焼き 一心",,5
1617,"暁 大宮駅前店",,,,,,,"暁 大宮駅前店",,5
1618,"居酒屋一休 大宮店",,,,,,,"居酒屋一休 大宮店",,5
1619,"福福屋 宮原東口駅前店",,,,,,,"福福屋 宮原東口駅前店",,5
1620,"ミライザカ 大宮東口店",,,,,,,"ミライザカ 大宮東口店",,5
1621,"鳥光國 さいたま新都心店",,,,,,,"鳥光國 さいたま新都心店",,5
1622,"海鮮酒場 魚盛 大宮店",,,,,,,"海鮮酒場 魚盛 大宮店",,5
1623,"居酒屋 田（でん）",,,,,,,"居酒屋 田（でん）",,1
1624,"ふくたね",,,,,,,"ふくたね",,1
1625,"歩乃歌",,,,,,,"歩乃歌",,1
1626,"石焼料理みのる",,,,,,,"石焼料理みのる",,1
1627,"村さ来 船橋競馬場前店",,,,,,,"村さ来 船橋競馬場前店",,1
1628,"大阪串揚げ 菊井",,,,,,,"大阪串揚げ 菊井",,1
1629,"土方",,,,,,,"土方",,1
1630,"インフィニティ",,,,,,,"インフィニティ",,1
1631,"炉端＆鉄ぐりる 蔵人",,,,,,,"炉端＆鉄ぐりる 蔵人",,1
1632,"美酒佳肴 凪(びしゅかこう なぎ)-西船橋",,,,,,,"美酒佳肴 凪(びしゅかこう なぎ)-西船橋",,1
1633,"大衆バル 290 〜にくまる〜 西船橋店",,,,,,,"大衆バル 290 〜にくまる〜 西船橋店",,1
1634,"磯丸水産 西船橋店",,,,,,,"磯丸水産 西船橋店",,1
1635,"炭旬 船橋仲通り店",,,,,,,"炭旬 船橋仲通り店",,1
1636,"手作り居酒屋 甘太郎 船橋南口店",,,,,,,"手作り居酒屋 甘太郎 船橋南口店",,1
1637,"味のまる藤",,,,,,,"味のまる藤",,1
1638,"餃子酒場 船橋店",,,,,,,"餃子酒場 船橋店",,1
1639,"居酒屋花一西船店",,,,,,,"居酒屋花一西船店",,1
1640,"レブステーキ",,"レブステーキ",,,,,,047-411-5908,4
1641,"金のうさぎ",,"金のうさぎ",,,,,,047-454-1102,4
1642,"欧風食堂 タブリエ",,"欧風食堂 タブリエ",,,,,,047-409-0716,4
1643,"ロイヤルホスト 津田沼駅前店",,"ロイヤルホスト 津田沼駅前店",,,,,,047-478-7981,4
1644,"楽楽屋 津田沼4号店",,"楽楽屋 津田沼4号店",,,,,"楽楽屋 津田沼店",047-409-9865,4
1645,"いさりび 京成大久保店",,"いさりび 京成大久保店",,,,,,047-411-9965,4
1646,"ヒマラヤ 千葉津田沼店",,"ヒマラヤ 千葉津田沼店",,,,,,047-409-4035,4
1647,"スターバックスコーヒー TSUTAYAモリシア津田沼店",,"スターバックスコーヒー TSUTAYAモリシア津田沼店",,,,,,047-403-8701,4
1648,"居酒屋 へちもん",,,,,,,"居酒屋 へちもん",,4
1649,"たか丸",,,,,,,"たか丸",,4
1650,"養老乃瀧 新習志野店",,,,,,,"養老乃瀧 新習志野店",,4
1651,"居酒屋なでしこ",,,,,,,"居酒屋なでしこ",,4
1652,"居酒屋もり",,,,,,,"居酒屋もり",,4
1653,"居酒屋 凧",,,,,,,"居酒屋 凧",,4
1654,"酒処きみ",,,,,,,"酒処きみ",,4
1655,"割烹居酒屋 深雪",,,,,,,"割烹居酒屋 深雪",,4
1656,"居酒屋しろひげ",,,,,,,"居酒屋しろひげ",,4
1657,"呑食堂バルくり",,,,,,,"呑食堂バルくり",,4
1658,"居酒屋 海月(くらげ)",,,,,,,"居酒屋 海月(くらげ)",,4
1659,"晴の厨",,,,,,,"晴の厨",,4
1660,"しんのすけ",,,,,,,"しんのすけ",,4
1661,"陣‐JIN‐ 津田沼店",,,,,,,"陣‐JIN‐ 津田沼店",,4
1662,"おかめ",,,,,,,"おかめ",,4
1663,"鈴之助",,,,,,,"鈴之助",,4
1664,"ゆき",,,,,,,"ゆき",,4
1665,"こいで",,,,,,,"こいで",,4
1666,"つくし",,,,,,,"つくし",,4
1667,"居酒屋ハイカラ屋 津田沼店",,,,,,,"居酒屋ハイカラ屋 津田沼店",,4
1668,"天狗 津田沼店",,,,,,,"天狗 津田沼店",,4
1669,"居酒屋 もつ焼 坊っちゃん 新津田沼店",,,,,,,"居酒屋 もつ焼 坊っちゃん 新津田沼店",,4
1670,"三代目鳥メロ 津田沼北口店",,,,,,,"三代目鳥メロ 津田沼北口店",,4
1671,"ミライザカ ＪＲ津田沼北口店",,,,,,,"ミライザカ ＪＲ津田沼北口店",,4
1672,"ありがとう 津田沼店",,,,,,,"ありがとう 津田沼店",,4
1673,"庄や京成津田沼店",,,,,,,"庄や京成津田沼店",,4
1674,"もつ焼坊っちゃん津田沼店",,,,,,,"もつ焼坊っちゃん津田沼店",,4
1675,"新橋やきとん新習志野店",,,,,,,"新橋やきとん新習志野店",,4
1676,"海炎 京成大久保店",,,,,,,"海炎 京成大久保店",,4
1677,"旬",,,,,,,"旬",,4
1678,"マクドナルド船橋イトーヨーカドー店 McDonald's FUNABASHI ITOYOKADO",,,,,,"マクドナルド船橋イトーヨーカドー店 McDonald's FUNABASHI ITOYOKADO",,,1
1679,"魚一商店　津田沼直売所 Uoichisyouten Tsudanumachokubaijo",,,,,,"魚一商店　津田沼直売所 Uoichisyouten Tsudanumachokubaijo",,,1
1680,"揚げ物専門店 船橋フライヤーズ Agemonosenmonten hunabashiflyers",,,,,,"揚げ物専門店 船橋フライヤーズ Agemonosenmonten hunabashiflyers",,,1
1681,"本場!!アメリカ直輸入!!Harvest Potatoes 前原西",,,,,,"本場!!アメリカ直輸入!!Harvest Potatoes 前原西",,,1
1682,"溶岩焼きビビンパ専門店「ファルファサン」 前原西",,,,,,"溶岩焼きビビンパ専門店「ファルファサン」 前原西",,,1
1683,"クリスピーチキンアンドトマト 船橋店 CRISPY CHICKEN n' TOMATO Funabashi",,,,,,"クリスピーチキンアンドトマト 船橋店 CRISPY CHICKEN n' TOMATO Funabashi",,,1
1684,"モスバーガー コーナン市川店",,,,,,"モスバーガー コーナン市川店",,,1
1685,"オリーブの丘 船橋夏見台店 Olive Hill Funabashi Natsumidai",,,,,,"オリーブの丘 船橋夏見台店 Olive Hill Funabashi Natsumidai",,,1
1686,"スターバックス コーヒー シャポー船橋本館 Starbucks Coffee Shapo Funabashi Honkan",,,,,,"スターバックス コーヒー シャポー船橋本館 Starbucks Coffee Shapo Funabashi Honkan",,,1
1687,"カレーハウス CoCo壱番屋 JR 西船橋駅北口 Curry House CoCo Ichibanya JR Nishifunabashi Station North-exit",,,,,,"カレーハウス CoCo壱番屋 JR 西船橋駅北口 Curry House CoCo Ichibanya JR Nishifunabashi Station North-exit",,,1
1688,"味香園 谷津店 Mikouen Yatuten",,,,,,"味香園 谷津店 Mikouen Yatuten",,,1
1689,"からやま 船橋市場通り店 Karayama Funabashi Ichibadori",,,,,,"からやま 船橋市場通り店 Karayama Funabashi Ichibadori",,,1
1690,"韓国チキン専門店 韓鶏DELI 西船橋店",,,,,,"韓国料理専門店 韓DELI 船橋",,,1
1691,"天丼てんや ペリエ西船橋 Tendon tenya Perie Nishi Funabashi",,,,,,"天丼てんや ペリエ西船橋 Tendon tenya Perie Nishi Funabashi",,,1
1692,"焼肉酒場ともさんかく船橋店 YAKINIKUSAKABA TOMOSANKAKU FUNABASHI",,,,,,"焼肉酒場ともさんかく船橋店 YAKINIKUSAKABA TOMOSANKAKU FUNABASHI",,,1
1693,"唐揚げ だるま",,,"唐揚げだるま　船橋店",,,"唐揚げ だるま 船橋店 (からあげ専門)",,,1
1694,"究極のガパオライス SAHARA アジア料理",,,,,,"究極のガパオライス SAHARA アジア料理",,,1
1695,"元祖！船橋クラフトバーガー“The 西船ダイナー”",,,,,,"元祖！船橋クラフトバーガー“The 西船ダイナー”",,,1
1696,"四川麻婆豆腐飯店陳 Shisen Mabo Dodu Ten Chin",,,,,,"四川麻婆豆腐飯店陳 Shisen Mabo Dodu Ten Chin",,,1
1697,"吉野家 船橋市場町",,,,,,"吉野家 船橋市場町",,,1
1698,"ラーメン嘉祥 Ramen kasyo",,,,,,"ラーメン嘉祥 Ramen kasyo",,,1
1699,"ヒマラヤダイニング Himalaya Dining",,,,,,"ヒマラヤダイニング Himalaya Dining",,,1
1700,"麺屋あらき 竈の番人 MenyaAraki Kamadonobannin",,,,,,"麺屋あらき 竈の番人 MenyaAraki Kamadonobannin",,,1
1701,"【低温調理 肉刺し丼～牛×鶏×鴨～】鶏古家　津田沼店 Torikoya　tsudanuma",,,,,,"【低温調理 肉刺し丼～牛×鶏×鴨～】鶏古家　津田沼店 Torikoya　tsudanuma",,,1
1702,"一条もんこ先生のカレー診療所 船橋南口院 Dr.Ichijo Monko Curry Clinic Funabashi South",,,,,,"一条もんこ先生のカレー診療所 船橋南口院 Dr.Ichijo Monko Curry Clinic Funabashi South",,,1
1703,"カオマンガイ専門店 タイ料理ヒウマイ 船橋店 Thai Restaurant HiuMai Funabashi",,,,,,"カオマンガイ専門店 タイ料理ヒウマイ 船橋店 Thai Restaurant HiuMai Funabashi",,,1
1704,"高輪とんかつ齊藤",,,,,,"高輪とんかつ齊藤",,,1
1705,"居酒屋 一九 Izakaya Ikkyu",,,,,,"居酒屋 一九 Izakaya Ikkyu",,,1
1706,"松屋 下総中山店 Matsuya Shimousa Nakayama",,,,,,"松屋 下総中山店 Matsuya Shimousa Nakayama",,,1
1707,"唐揚げ・つけそば専門店「唐蕎麦屋」 船橋南口駅前店",,,,,,"唐揚げ・つけそば専門店「唐蕎麦屋」 船橋南口駅前店",,,1
1708,"味よし Ajiyoshi",,,,,,"味よし Ajiyoshi",,,1
1709,"ガーリックライス専門店　ガリ飯くん　船橋店 Garlicrice senmonten Garimeshikun",,,,,,"ガーリックライス専門店　ガリ飯くん　船橋店 Garlicrice senmonten Garimeshikun",,,1
1710,"とんかつ 新宿さぼてん 船橋イオンモール店 Japanese Cutlet Saboten AEON MALL Funabashi",,,,,,"とんかつ 新宿さぼてん 船橋イオンモール店 Japanese Cutlet Saboten AEON MALL Funabashi",,,1
